DateTime,Temp 1,Temp 2,Temp 3,Temp_ambient 1,Temp_ambient 2,Humetat 1,Humetat 2,lux,PH
14/4/2018 9:4:50,"8,88","20,37","24,62","11,3","20,5","54,4",26,6584,"7,22"
14/4/2018 9:19:59,"9,13","20,31","24,62","11,9","20,3","52,9","26,4",7884,"7,22"
14/4/2018 9:35:8,"9,5","20,19","24,56","12,5","20,4","51,6","26,6",35291,"7,22"
14/4/2018 9:50:17,"11,19","20,12","24,56","13,7","20,4",48,"26,8",45822,"7,21"
14/4/2018 10:5:26,"12,75","20,06","24,5","15,3","20,6","44,3","27,2",54612,"7,21"
14/4/2018 10:20:35,"13,81",20,"24,5","16,6","21,4","40,6","27,8",54612,"7,21"
14/4/2018 10:35:44,"14,69","19,94","24,44","17,5","22,1","38,7","27,8",54612,"7,2"
14/4/2018 10:50:53,"15,69","19,87","24,37","18,8","22,9","36,2","27,8",54612,"7,19"
14/4/2018 11:6:1,17,"19,87","24,37","19,4","23,6",34,"27,9",54612,"7,18"
14/4/2018 11:21:10,"18,5","19,87","24,31","20,2","24,2","31,9","27,6",54612,"7,17"
14/4/2018 11:36:19,"20,19","19,87","24,31","21,1",25,"29,8","27,6",54612,"7,18"
14/4/2018 11:51:28,"21,94","19,94","24,25","22,3","25,6","28,4","27,5",54612,"7,17"
14/4/2018 12:6:37,"23,62",20,"24,25",23,"26,3","26,4",27,54612,"7,16"
14/4/2018 12:21:46,"25,19","20,06","24,19","23,9",27,"25,4","27,1",54612,"7,15"
14/4/2018 12:36:55,"26,69","20,19","24,19","24,2","27,8","24,6","26,8",54612,"7,15"
14/4/2018 12:52:4,"28,19","20,31","24,12","25,5","28,6","23,2","26,6",54612,"7,14"
14/4/2018 13:7:13,"29,81","20,44","24,12","27,7","29,3","21,7","26,9",54612,"7,13"
14/4/2018 13:22:22,"30,75","20,62","24,06","26,8","30,5","20,8","26,5",54612,"7,13"
14/4/2018 13:37:31,"32,44","20,81","24,06","27,6","31,3","20,5","26,6",54612,"7,13"
14/4/2018 13:52:40,"33,56",21,"24,06","29,6","32,2","18,9","26,7",54612,"7,12"
14/4/2018 14:7:50,"33,94","21,25",24,29,"33,2","18,7","25,6",54612,"7,1"
14/4/2018 14:22:59,"34,81","21,56",24,30,"33,6","17,5","25,1",54612,"7,1"
14/4/2018 14:38:8,"35,5","21,81",24,30,"33,6","17,6","24,3",54612,"7,1"
14/4/2018 14:53:17,"36,44","22,12","23,94","30,4","33,7","17,5","25,1",54612,"7,1"
14/4/2018 15:8:26,"37,31","22,5","23,94","30,3","34,4","16,6","24,9",54612,"7,1"
